pdb_id,split
1arj,train
1eht,train
1ei2,train
1f27,train
1fmn,train
1fyp,train
1i2y,train
1j7t,train
1j8g,train
1koc,train
1kod,train
1lc4,train
1lvj,train
1mwl,train
1nta,train
1ntb,train
1o15,train
1raw,train
1uts,train
1uud,train
1uui,train
1ykv,train
1yrj,train
1zz5,train
2a04,train
2au4,train
2be0,train
2bee,train
2esi,train
2esj,train
2et3,train
2et4,train
2et8,train
2f4s,train
2f4t,train
2f4u,train
2g5k,train
2gis,train
2juk,train
2kgp,train
2kx8,train
2kxm,train
2l1v,train
2l94,train
2lwk,train
2m4q,train
2miy,train
2mxs,train
2n0j,train
2o3v,train
2o3w,train
2o3x,train
2o3y,train
2pwt,train
2qwy,train
2ydh,train
2ygh,train
2yie,train
3ds7,train
3egz,train
3f4e,train
3f4g,train
3f4h,train
3fo4,train
3fo6,train
3gca,train
3ger,train
3ges,train
3gog,train
3gx2,train
3gx3,train
3gx5,train
3gx6,train
3gx7,train
3iqn,train
3iqr,train
3irw,train
3iwn,train
3mij,train
3mum,train
3mur,train
3mut,train
3muv,train
3mxh,train
3npn,train
3npq,train
3q3z,train
3q50,train
3rkf,train
3s4p,train
3sd3,train
3v7e,train
3wru,train
4aob,train
4b5r,train
4e8k,train
4e8t,train
4f8u,train
4f8v,train
4far,train
4gpw,train
4gpx,train
4gpy,train
4k32,train
4kqy,train
4l81,train
4lvv,train
4lvx,train
4lvy,train
4lx5,train
4lx6,train
4oqu,train
4p20,train
4pdq,train
4qlm,train
4qln,train
4qvi,train
4rzd,train
4w90,train
4w92,train
4y1i,train
4y1j,train
4y1m,train
4yaz,train
4yb1,train
4zc7,train
5bjp,train
5c45,train
5fjc,train
5fk1,train
5fk2,train
5fk3,train
5fk4,train
5fk5,train
5fk6,train
5fkd,train
5fke,train
5fkf,train
5fkg,train
5fkh,train
5kpy,train
5kx9,train
5ob3,train
5t83,train
5v1l,train
5v3f,train
5vj9,train
5xz1,train
5z1h,train
5z1i,train
5z71,train
6bfb,train
6c63,train
6c64,train
6c65,train
6cb3,train
6cc1,train
6cc3,train
6ck4,train
6ck5,train
6db8,train
6dn1,train
6dn2,train
6dn3,train
6e1s,train
6e1u,train
6e1v,train
6e1w,train
6e81,train
6e82,train
6e84,train
6e8t,train
6e8u,train
6g7z,train
6gyv,train
6hag,train
6jbf,train
6jbg,train
6jji,train
6las,train
6lau,train
6lax,train
6laz,train
6n5k,train
6n5n,train
6n5o,train
6n5p,train
6n5q,train
6n5t,train
6p2h,train
6pq7,train
6q57,train
6qiv,train
6t3k,train
6t3r,train
6uc7,train
6uc8,train
6uc9,train
6uet,train
6up0,train
6v9b,train
6v9d,train
6va2,train
6va3,train
6vui,train
6wtl,train
6xb7,train
6xkn,train
6xko,train
6xrq,train
7a3y,train
7dwh,train
7e9e,train
7e9i,train
7eaf,train
7edl,train
7edm,train
7elp,train
7eog,train
7eoi,train
7eok,train
7eol,train
7eom,train
7eon,train
7eoo,train
7eop,train
7fhi,train
7kvt,train
7kvu,train
7kvv,train
7l0z,train
7mkt,train
7oa3,train
7oav,train
7oaw,train
7oax,train
7rwr,train
7szu,train
7u0y,train
7wib,train
7wif,train
7wii,train
7zj4,train
8d28,train
8d2a,train
8d2b,train
8d5l,train
8d5o,train
8fza,train
8g4w,train
8g7e,train
8g8z,train
8i43,train
8i44,train
8u5k,train
8u5p,train
8u5t,train
8u5z,train
8u60,train
8uiw,train
8uta,train
1aju,validation
1q8n,validation
2ktz,validation
2ku0,validation
3b4b,validation
3b4c,validation
3tzr,validation
4faw,validation
4jf2,validation
4k31,validation
4nfo,validation
5d5l,validation
5xi1,validation
6az4,validation
6gzk,validation
6gzr,validation
6tb7,validation
6tf1,validation
6tf2,validation
6tf3,validation
6tfe,validation
6tff,validation
6tfg,validation
6va4,validation
7d7v,validation
7d7w,validation
7d7x,validation
7d7y,validation
7d7z,validation
7d81,validation
7d82,validation
7fj0,validation
7yc8,validation
7ycg,validation
7ych,validation
7yci,validation
8eyu,validation
8eyv,validation
8eyw,validation
8f0n,validation
8i7n,validation
1akx,test
1xpf,test
2cky,test
2hol,test
2hom,test
2hoo,test
2hop,test
2oe5,test
2oe8,test
3d2g,test
3d2v,test
3d2x,test
3e5c,test
3e5e,test
3e5f,test
3fu2,test
3k0j,test
3k1v,test
4e8m,test
4e8n,test
4e8p,test
4e8q,test
4e8r,test
4e8v,test
4faq,test
4fau,test
4fax,test
4fb0,test
4xw7,test
4xwf,test
4znp,test
5btp,test
5vcf,test
5vci,test
6od9,test
6t3n,test
6t3s,test
6u8f,test
6wzr,test
6wzs,test
7d12,test
7td7,test
7tzt,test
7tzu,test
8f4o,test
8gxb,test
8gxc,test
8hb8,test
8hba,test
8i45,test
8i46,test
