pdb_id,split
1aju,train
1arj,train
1eht,train
1ei2,train
1f27,train
1fmn,train
1fyp,train
1i2y,train
1j7t,train
1koc,train
1kod,train
1lc4,train
1lvj,train
1mwl,train
1nta,train
1ntb,train
1q8n,train
1raw,train
1uts,train
1uud,train
1uui,train
1xpf,train
1yrj,train
1zz5,train
2a04,train
2au4,train
2be0,train
2bee,train
2esi,train
2esj,train
2et4,train
2et8,train
2f4s,train
2f4t,train
2f4u,train
2g5k,train
2gis,train
2juk,train
2kgp,train
2ktz,train
2ku0,train
2kx8,train
2kxm,train
2l1v,train
2l94,train
2m4q,train
2miy,train
2mxs,train
2n0j,train
2o3v,train
2o3w,train
2o3x,train
2o3y,train
2oe5,train
2oe8,train
2pwt,train
2qwy,train
2ydh,train
2ygh,train
2yie,train
3ds7,train
3e5c,train
3e5e,train
3e5f,train
3egz,train
3f4e,train
3f4g,train
3f4h,train
3fo4,train
3fo6,train
3fu2,train
3ger,train
3ges,train
3gog,train
3gx2,train
3gx3,train
3gx5,train
3gx6,train
3gx7,train
3iqn,train
3iqr,train
3irw,train
3iwn,train
3k1v,train
3mum,train
3mur,train
3mut,train
3muv,train
3mxh,train
3q3z,train
3rkf,train
3s4p,train
3sd3,train
3tzr,train
3v7e,train
3wru,train
4aob,train
4b5r,train
4e8m,train
4e8n,train
4e8p,train
4e8q,train
4e8r,train
4e8t,train
4e8v,train
4f8u,train
4f8v,train
4faq,train
4far,train
4fau,train
4faw,train
4fax,train
4fb0,train
4gpw,train
4gpx,train
4gpy,train
4jf2,train
4k31,train
4k32,train
4kqy,train
4l81,train
4lvv,train
4lvx,train
4lvy,train
4lx5,train
4lx6,train
4nfo,train
4oqu,train
4p20,train
4pdq,train
4qlm,train
4qln,train
4qvi,train
4rzd,train
4w90,train
4w92,train
4xw7,train
4xwf,train
4y1i,train
4y1j,train
4y1m,train
4yaz,train
4yb1,train
4znp,train
5bjp,train
5btp,train
5c45,train
5d5l,train
5fjc,train
5fk1,train
5fk2,train
5fk3,train
5fk4,train
5fk5,train
5fk6,train
5fkd,train
5fke,train
5fkf,train
5fkg,train
5fkh,train
5kpy,train
5kx9,train
5ob3,train
5v1l,train
5v3f,train
5vcf,train
5vci,train
5vj9,train
5xi1,train
5xz1,train
5z1h,train
5z1i,train
5z71,train
6az4,train
6bfb,train
6c63,train
6c64,train
6c65,train
6cb3,train
6cc1,train
6cc3,train
6db8,train
6dn1,train
6dn2,train
6dn3,train
6e81,train
6e82,train
6e84,train
6e8t,train
6e8u,train
6gzk,train
6gzr,train
6jbf,train
6jji,train
6las,train
6lau,train
6lax,train
6laz,train
6n5k,train
6n5n,train
6n5o,train
6n5p,train
6n5q,train
6n5t,train
6od9,train
6p2h,train
6pq7,train
6q57,train
6qiv,train
6t3k,train
6t3n,train
6t3r,train
6t3s,train
6tb7,train
6tf1,train
6tf2,train
6tf3,train
6tfe,train
6tff,train
6tfg,train
6u8f,train
6uc7,train
6uc8,train
6uc9,train
6up0,train
6v9b,train
6v9d,train
6va2,train
6va3,train
6va4,train
6wtl,train
6wzr,train
6wzs,train
6xb7,train
6xkn,train
6xko,train
6xrq,train
7d12,train
7d7v,train
7d7w,train
7d7x,train
7d7y,train
7d7z,train
7d81,train
7d82,train
7dwh,train
7eaf,train
7edl,train
7edm,train
7fj0,train
7kvt,train
7kvu,train
7kvv,train
7l0z,train
7mkt,train
7oa3,train
7oav,train
7oaw,train
7oax,train
7rwr,train
7szu,train
7u0y,train
8eyu,train
8eyv,train
8eyw,train
8f0n,train
8fza,train
8g4w,train
8g7e,train
8g8z,train
8gxb,train
8gxc,train
8hb8,train
8hba,train
8i44,train
8i45,train
8i46,train
8u5k,train
8u5p,train
8u5t,train
8u5z,train
8u60,train
8uiw,train
8uta,train
1j8g,validation
1o15,validation
1ykv,validation
3b4b,validation
3b4c,validation
3gca,validation
3mij,validation
3q50,validation
5t83,validation
6ck4,validation
6ck5,validation
6e1s,validation
6e1u,validation
6e1v,validation
6e1w,validation
6jbg,validation
6uet,validation
6vui,validation
7a3y,validation
7e9e,validation
7e9i,validation
7fhi,validation
7wib,validation
7wif,validation
7wii,validation
7zj4,validation
8d28,validation
8d2a,validation
8d2b,validation
8d5l,validation
8d5o,validation
1akx,test
2cky,test
2et3,test
2hol,test
2hom,test
2hoo,test
2hop,test
2lwk,test
3d2g,test
3d2v,test
3d2x,test
3k0j,test
3npn,test
3npq,test
4e8k,test
4zc7,test
6g7z,test
6gyv,test
6hag,test
7elp,test
7eog,test
7eoi,test
7eok,test
7eol,test
7eom,test
7eon,test
7eoo,test
7eop,test
7td7,test
7tzt,test
7tzu,test
7yc8,test
7ycg,test
7ych,test
7yci,test
8f4o,test
8i43,test
8i7n,test
